"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW2,SW3,SW4,SW1";"SW_Cherry_MX_1.00u_PCB";4;"SW_Push";;;
2;"U1";"XIAO-RP2040-DIP";1;"XIAO-RP2040-DIP";;;
